Paises;TotalMuertes;TotalPoblacion2019;%TotalMuerte;hospital_beds_per_thousand;life_expectancy;human_development_index;%PIB2018
Israel;2999;8519373;0,00035;2.99;82.97;0.919;4.86
Italy;64520;60359546;0,00107;3.18;83.51;0.892;6.4
Jamaica;273;2948277;0,00009;1.7;74.47;0.734;3.94
Japan;2585;126860299;0,00002;13.05;84.63;0.919;9.21
Jersey;32;107796;0,0003;0;0;0;0
Jordan;3365;10101697;0,00033;1.4;74.53;0.729;3.83
Kazakhstan;2552;18551428;0,00014;6.7;73.6;0.825;1.78
Kenya;1587;52573967;0,00003;1.4;66.7;0.601;2.18
Kosovo;1198;1798506;0,00067;0;0;0;0
Kuwait;911;4207077;0,00022;2;75.49;0.806;4.4
Kyrgyzstan;1312;6415851;0,0002;4.5;71.45;0.697;2.8
Laos;0;7169456;0;1.5;67.92;0.613;0
Latvia;349;1919968;0,00018;5.57;75.29;0.866;3.7
Lebanon;1200;6855709;0,00018;2.9;78.93;0.744;4.18
Lesotho;44;2125267;0,00002;0;54.33;0.527;0
Liberia;83;4937374;0,00002;0.8;64.1;0.48;1.7
Libya;1299;6777453;0,00019;3.7;72.91;0.724;0
Liechtenstein;18;38378;0,00047;2397;82.49;0.919;0
Lithuania;825;2794184;0,0003;6.56;75.93;0.882;4.33
Luxembourg;396;613894;0,00065;4.51;82.25;0.916;4.49
Madagascar;258;26969306;0,00001;0.2;67.04;0.528;No data
Malawi;187;18628749;0,00001;1.3;64.26;0.483;2.7
Malaysia;415;31949789;0,00001;1.9;76.16;0.81;1.92
Maldives;48;530957;0,00009;0;78.92;0.74;6.65
Mali;194;19658023;0,00001;0.1;59.31;0.434;1.1
Malta;166;493559;0,00034;4485;82.53;0.895;5.69
Marshall_Islands ;0;58791;0;2.7;73.7;0.704;7.62
Mauritania;222;4525698;0,00005;0;64.92;0.546;1.64
Mauritius;10;1269670;0,00001;3.4;74.99;0.804;2.51
Mexico;113953;127575529;0,00089;1.38;75.05;0.779;2.69
Moldova;2572;4043258;0,00064;5.8;71.9;0.75;0
Monaco;2;33085;0,00006;13.8;86.75;0;1.37
Mongolia;0;3225166;0;7;69.87;0.737;2.22
Montenegro;582;622182;0,00094;3861;76.88;0.829;5.06
Montserrat;1;4991;0,0002;0;74.16;0;0
Morocco;6624;36471766;0,00018;1.1;76.68;0.686;2.14
Mozambique;142;30366043;0;0.7;60.85;0.456;1.73
Myanmar;2268;54045422;0,00004;0.9;67.13;0.583;0.71
Namibia;160;2494524;0,00006;0;63.71;0.646;3.66
Nepal;1698;28608715;0,00006;0.3;70.78;0.602;1.46
Netherlands;10034;17282163;0,00058;3.32;82.28;0.944;6.48
New_Caledonia;0;282757;0;0;77.55;0;0
New_Zealand;25;4783062;0,00001;2.61;82.29;0.931;6.89
Nicaragua;162;6545503;0,00002;0.9;74.48;0.66;5.12
Niger;80;23310719;0;0.3;62.42;0.394;2.43
Nigeria;1197;200963603;0,00001;0;54.69;0.539;0.58
North_Macedonia ;2121;2077132;0,00102;4.28;75.8;0.774;3.77
Northern_Mariana_Islands;2;57213;0,00003;0;0;0;0
Norway;387;5328212;0,00007;3.6;82.4;0.957;8.57
Oman;1471;4974992;0,0003;1.6;77.86;0.813;3.62
Pakistan;8832;216565317;0,00004;0.6;67.27;0.557;1.14
Palestine;1079;4981422;0,00022;0;74.05;0.708;0
Panama;3356;4246440;0,00079;2.3;78.51;0.815;4.64
Papua_New_Guinea ;8;8776119;0;0;64.5;0.555;1.66
Paraguay;1953;7044639;0,00028;1.3;74.25;0.728;2.91
Peru;36677;32510462;0,00113;1.6;76.74;0.777;3.28
Philippines;8733;108116622;0,00008;1;71.23;0.718;1.44
Poland;22864;37972812;0,0006;6.62;78.73;0.88;4.5
Portugal;5559;10276617;0,00054;3.39;82.05;0.864;5.78
Puerto_Rico;1272;2933404;0,00043;0;0;0;0
Qatar;240;2832071;0,00008;1.2;80.23;0.848;1.86
Reino_unido ;64170;66647112;0,00096;2.54;81.32;0.932;0
República_Dominicana ;2716;44882063;0,00006;1.6;74.08;0.756;0.5
Romania;13385;19414458;0,00069;6892;76.05;0.828;4.43
Russia;46941;145872260;0,00032;8.05;72.58;0.824;0
Rwanda;56;12626938;0;0;69.02;0.543;2.37
Saint_Kitts_and_Nevis ;0;52834;0;2.3;76.23;0.779;2.47
Saint_Lucia ;4;182795;0,00002;1.3;76.2;0.759;2.08
Saint_Vincent_and_the_Grenadines ;0;110593;0;2.6;72.53;0.738;3.05
San_Marino ;51;34453;0,00148;3.8;84.97;0;6
Sao_Tome_and_Principe ;17;215048;0,00008;2.9;70.39;0.625;2.75
Saudi_Arabia ;6048;34268529;0,00018;2.7;75.13;0.854;3.97
Senegal;349;16296362;0,00002;0;67.94;0.512;0.95
Serbia;2331;6963764;0,00033;5609;76;0.806;5.07
Seychelles;0;97741;0;3.6;73.4;0.796;3.81
Sierra_Leone ;75;7813207;0,00001;0;54.7;0.452;1.56
Singapore;29;5804343;0;2.4;83.62;0.938;2.25
Sint_Maarten ;26;42389;0,00061;0;78.95;0;0
Slovakia;1175;5450421;0,00022;5.82;77.54;0.86;5.3
Slovenia;1459;2080908;0,0007;4.5;81.32;0.917;6.01
Somalia;121;15442906;0,00001;0.9;57.4;0;0
South_Africa;23276;58558267;0,0004;2.32;64.13;0.709;4.46
South_Korea;587;51225321;0,00001;12.27;83.03;0.916;0
South_Sudan ;62;11062114;0,00001;0;57.85;0.433;0.69
Spain;47624;46937060;0,00101;2.97;83.56;0.904;6.32
Sri_Lanka ;152;21323734;0,00001;3.6;76.98;0.782;1.54
Sudan;1347;42813237;0,00003;0.8;65.31;0.51;1.03
Suriname;117;581363;0,0002;3.1;71.68;0.738;5.25
Sweden;7514;10230185;0,00073;2.22;82.8;0.945;9.27
Switzerland;5378;8544527;0,00063;4.53;83.78;0.955;3.71
Syria;518;17070132;0,00003;1.5;72.7;0.567;0
Taiwan;7;23773881;0;0;80.46;0;0
Tajikistan;88;9321023;0,00001;4.8;71.1;0.668;1.96
Thailand;60;69625581;0;2.1;77.15;0.777;2.89
Timor_Leste ;0;1293120;0;5.9;69.5;0.606;2.62
Togo;66;8082359;0,00001;0.7;61.04;0.515;1.05
Trinidad_y_Tobago ;122;1394969;0,00009;3;73.51;0.796;3.42
Tunisia;3894;11694721;0,00033;2.3;76.7;0.74;4.18
Turkey;16199;82003882;0,0002;2.81;77.69;0.82;3.19
Uganda;221;44269587;0;0.5;63.37;0.544;1.03
Ukraine;15247;43993643;0,00035;8.8;72.06;0.779;3.7
United_Arab_Emirates ;617;9770526;0,00006;1.2;77.97;0.89;2.18
United_Republic_of_Tanzania ;21;58005461;0;0.7;65.46;0.529;1.56
United_States_Virgin_Islands;23;104579;0,00022;0;79.07;0;0
Uruguay;92;3461731;0,00003;2.8;77.91;0.817;6.71
Uzbekistan;612;32981715;0,00002;4;71.72;0.72;2.02
Vanuatu;0;299882;0;0;70.47;0.609;2.14
Venezuela;949;28515829;0,00003;0.8;72.06;0.711;0
Vietnam ;35;96462108;0;2.6;75.4;0.704;2.7
Western_Sahara;1;582458;0;0;0;0;0
Yemen;606;29161922;0,00002;0.7;66.12;0.47;0
Zambia;367;17861034;0,00002;2;63.89;0.584;1.93
Zimbabwe;307;14645473;0,00002;1.7;61.49;0.571;1.32
Curacao;11;163423;0,00007;0;78.88;0;0
